year,chicago_percent,illinois_calls,chicago_calls
2015,46.0,6093,2802.78
2016,46.0,6302,2898.92
2017,45.9,6494,2980.7459999999996
2018,43.0,7318,3146.74
2019,45.0,7418,3338.1
