DISTRICT,NAME,SHAPE__Are,SHAPE__Len,SAFETY,S_SEX_FEMALE,TRUST,T_SEX_FEMALE,T_LISTEN,T_LISTEN_SEX_FEMALE,T_RESPECT,T_RESPECT_SEX_FEMALE
9,9th-district-deering,63112571.6015625,35622.0611931771,48.64791666666667,47.933125,60.516875,61.695625,58.12729166666667,59.44854166666667,62.906666666666666,63.944583333333334
10,10th-district-ogden,36744242.6992188,28802.2310116866,47.20791666666667,46.571666666666665,53.64333333333334,54.179375,51.42416666666667,52.331875,55.862291666666664,56.02708333333334
2,2nd-district-wentworth,35092665.3320313,26791.4303521035,51.19770833333333,49.86708333333333,54.281666666666666,54.00083333333333,51.28625,50.709375,57.276666666666664,57.29229166666667
8,8th-district-chicago-lawn,107753201.371094,53384.7413064216,52.699375,52.821666666666665,65.88541666666667,66.955625,64.40979166666666,65.55791666666667,67.359375,68.35375
3,3rd-district-grand-crossing,28335397.1992188,28901.0091253473,47.50625,48.43270833333333,48.641875,47.95729166666666,46.449375,45.86708333333333,50.83479166666667,50.04895833333333
7,7th-district-englewood,30363045.4414063,22255.1320173119,45.418749999999996,45.111875,53.60791666666666,49.298750000000005,51.40854166666667,47.350208333333335,55.806875,51.244791666666664
4,4th-district-south-chicago,126797332.167969,57946.5641478589,50.13270833333333,51.91229166666667,54.81,54.27354166666667,52.24395833333333,52.34479166666667,57.37625,56.20250000000001
6,6th-district-gresham,37715579.75,29382.3340041093,45.57875000000001,46.53895833333333,47.99604166666666,46.362500000000004,46.41625,43.98354166666667,49.576249999999995,48.74166666666667
22,22nd-district-morgan-park,62621133.0976563,48947.8334610979,55.88625,57.00625,67.58333333333333,68.29666666666667,66.484375,67.59833333333333,68.68291666666667,68.99645833333334
5,5th-district-calumet,59499357.1679688,44806.7256733178,45.274791666666665,47.72333333333333,51.66979166666667,51.72145833333334,50.06708333333333,49.81979166666667,53.27166666666667,53.624583333333334
24,24th-district-rogers-park,25464202.5625,22801.562376807,59.973125,58.92541666666667,63.13645833333334,64.78479166666666,60.90479166666666,62.95229166666667,65.36708333333333,66.61583333333333
16,16th-district-jefferson-park,147847902.039063,128597.930316178,63.5705,65.258,77.57066666666667,77.7055,75.882,76.05300000000001,79.25966666666666,79.35816666666666
17,17th-district-albany-park,45088900.71875,28344.7317906489,61.859375,63.23,64.50854166666666,66.89812500000001,61.862291666666664,64.56583333333333,67.15666666666667,69.22958333333334
20,20th-district-lincoln,20487395.2265625,20128.4170617783,64.935625,65.59041666666667,60.716874999999995,60.374583333333334,58.005833333333335,57.7775,63.431041666666665,62.971666666666664
19,19th-district-town-hall,40223344.3164063,36171.5425391725,62.699999999999996,62.6675,63.161458333333336,64.361875,61.190416666666664,62.495000000000005,65.13333333333334,66.22854166666666
25,25th-district-grand-central,51081471.1953125,32955.0922786845,56.22347222222223,56.65625,63.943194444444444,64.48763888888888,61.306805555555556,62.021388888888886,66.57902777777777,66.95486111111111
14,14th-district-shakespeare,28100790.4335938,22446.2644905156,61.545625,59.52916666666667,57.21333333333333,57.736250000000005,54.873333333333335,56.086666666666666,59.554375,59.388125
18,18th-district-near-north,21945916.6132813,32565.8710096892,52.81,55.3525,70.52458333333333,71.30916666666667,67.61916666666666,68.823125,73.42979166666667,73.79375
12,12th-district-near-west,45266173.0820313,32953.4473674738,51.70458333333334,51.747083333333336,57.741875,55.65854166666667,54.87958333333333,53.252916666666664,60.60541666666666,58.06395833333334
15,15th-district-austin,17854416.3671875,17461.3960388345,52.63270833333333,53.282916666666665,56.93270833333333,57.74520833333333,55.07416666666666,55.59625,58.791875000000005,59.893125
1,1st-district-central,21904148.515625,33483.4982208672,52.98041666666666,54.365833333333335,67.77729166666667,68.595625,64.83166666666666,65.73145833333334,70.72229166666666,71.4575
11,11th-district-harrison,28553593.5703125,23991.0514550574,46.206250000000004,46.1175,48.381458333333335,47.83583333333333,46.477291666666666,46.139375,50.28541666666666,49.53020833333333
